ASL-devel: ASL 
libqca2-devel: Qca 
libqgpgme-devel: QGpgme 
libqjson-devel: QJSON 
libqt5-linguist-devel: Qt5LinguistTools 
libqt5-qtconnectivity-devel: Qt5Bluetooth Qt5Nfc 
libqt5-qtdeclarative-devel: Qt5Qml Qt5Quick Qt5QuickTest Qt5QuickWidgets 
libqt5-qtgamepad-devel: Qt5Gamepad 
libqt5-qtlocation-devel: Qt5Location Qt5Positioning 
libqt5-qtmultimedia-devel: Qt5Multimedia Qt5MultimediaWidgets 
libqt5-qtnetworkauth-devel: Qt5NetworkAuth 
libqt5-qtremoteobjects-devel: Qt5RemoteObjects Qt5RepParser 
libqt5-qtscript-devel: Qt5Script Qt5ScriptTools 
libqt5-qtscxml-devel: Qt5Scxml 
libqt5-qtsensors-devel: Qt5Sensors 
libqt5-qtserialbus-devel: Qt5SerialBus 
libqt5-qtserialport-devel: Qt5SerialPort 
libqt5-qtspeech-devel: Qt5TextToSpeech 
libqt5-qtsvg-devel: Qt5Svg 
libqt5-qttools-devel: Qt5Designer Qt5Help Qt5UiPlugin Qt5UiTools 
libqt5-qtwayland-devel: Qt5WaylandClient Qt5WaylandCompositor 
libqt5-qtwebchannel-devel: Qt5WebChannel 
libqt5-qtwebengine-devel: Qt5WebEngine Qt5WebEngineCore Qt5WebEngineWidgets 
libqt5-qtwebsockets-devel: Qt5WebSockets 
libqt5-qtwebview-devel: Qt5WebView 
libqt5-qtx11extras-devel: Qt5X11Extras 
libqt5-qtxmlpatterns-devel: Qt5XmlPatterns 
libshiboken-devel: Shiboken 
libshiboken-python3-devel: Shiboken 
libsignon-qt5-devel: SignOnQt5 
libssh-devel: libssh 
libtins-devel: libtins 
libtomahawk-devel: Tomahawk 
libwebsockets-devel: Libwebsockets 
libyui-devel: Libyui 
libyui-ncurses-devel: Libyui-ncurses 
libyui-ncurses-pkg-devel: Libyui-ncurses-pkg 
libyui-qt-devel: Libyui-qt 
libyui-qt-graph-devel: Libyui-qt-graph 
libyui-qt-pkg-devel: Libyui-qt-pkg 
limesuite-devel: LimeSuite 
llvm5-devel: LLVM LLVM- 
mailcommon-devel: KF5MailCommon 
mailimporter-devel: KF5MailImporter KF5MailImporterAkonadi 
marble-devel: Astro Marble 
mathgl-devel: MathGL2 
messagelib-devel: KF5MessageComposer KF5MessageCore KF5MessageList KF5MessageViewer KF5MimeTreeParser KF5TemplateParser KF5WebEngineViewer 
mobipocket-devel: QMobipocket 
msgpack-devel: msgpack 
neko-devel: Neko 
nlohmann_json-devel: nlohmann_json 
nss_wrapper: nss_wrapper 
occt-devel: OpenCASCADE 
okteta-devel: KastenControllers KastenCore KastenGui OktetaCore OktetaGui OktetaKastenControllers OktetaKastenCore OktetaKastenGui 
okular-devel: Okular5 
openbabel-devel: OpenBabel2 
openobex-devel: openobex 
pam_wrapper: pam_wrapper 
phonon-devel: Phonon PhononExperimental 
phonon4qt5-devel: Phonon4Qt5 Phonon4Qt5Experimental 
pimcommon-devel: KF5PimCommon KF5PimCommonAkonadi 
plasma-framework-devel: KF5Plasma KF5PlasmaQuick 
plasma5-workspace-devel: KRunnerAppDBusInterface KSMServerDBusInterface LibColorCorrect LibKWorkspace LibTaskManager 
plplot-devel: plplot 
prison-qt5-devel: KF5Prison 
pugixml-devel: pugixml 
purpose-devel: KDEExperimentalPurpose KF5Purpose 
python-pyside-devel: PySide 
python3-pyside-devel: PySide 
python3-pyside2-devel: PySide2 Shiboken2 
qpid-cpp-client-devel: Qpid 
qpid-proton-devel: Proton ProtonCpp 
qqc2-desktop-style-devel: KF5QQC2DeskopStyle 
qtkeychain-devel: QtKeychain 
qtkeychain-qt5-devel: Qt5Keychain 
qxtglobalshortcut-devel: qxtglobalshortcut 
resolv_wrapper: resolv_wrapper 
snorenotify-qt5-devel: LibsnoreQt5 LibsnoreSettingsQt5 
socket_wrapper: socket_wrapper 
solid-devel: KF5Solid 
sonnet-devel: KF5Sonnet 
spdlog-devel: spdlog 
stp-devel: STP 
syndication-devel: KF5Syndication 
syntax-highlighting-devel: KF5SyntaxHighlighting 
telepathy-qt5-devel: TelepathyQt5 TelepathyQt5Farstream TelepathyQt5Service 
threadweaver-devel: KF5ThreadWeaver 
uhd-devel: UHD 
uid_wrapper: uid_wrapper 
unittest-cpp-devel: UnitTest++ 
uwac0-0-devel: uwac 
vtk-devel: VTK 
waffle-devel: Waffle 
websocketpp-devel: websocketpp 
winpr2-devel: WinPR 
wt-devel: wt 
yaml-cpp-devel: yaml-cpp 
z3-devel: Z3 
